venta_id,cliente_id,producto_id,fecha,cantidad,precio_unitario,descuento,total
V000001,C0049,P016,2024-12-07,4,167,0.0,668.0
V000002,C0167,P003,2024-07-30,4,59,0.1,212.4
V000003,C0180,P032,2023-08-26,1,276,0.05,262.2
V000004,C0094,P006,2024-09-04,3,90,0.05,256.5
V000005,C0121,P035,2023-06-17,3,435,0.1,1174.5
V000006,C0096,P047,2024-07-18,5,91,0.0,455.0
V000007,C0083,P048,2024-10-16,3,354,0.05,1008.9
V000008,C0045,P038,2024-02-16,3,134,0.05,381.9
V000009,C0089,P050,2023-10-27,2,176,0.1,316.8
V000010,C0193,P032,2024-11-22,5,276,0.05,1311.0
V000011,C0093,P028,2023-03-30,5,459,0.05,2180.25
V000012,C0036,P022,2024-01-03,4,345,0.05,1311.0
V000013,C0193,P035,2024-11-27,2,435,0.0,870.0
V000014,C0088,P033,2024-10-02,2,100,0.1,180.0
V000015,C0088,P035,2024-10-09,2,435,0.1,783.0
V000016,C0036,P014,2024-12-10,4,111,0.0,444.0
V000017,C0108,P008,2024-05-28,5,442,0.0,2210.0
V000018,C0134,P007,2024-08-12,1,467,0.05,443.65
V000019,C0141,P043,2023-06-18,2,346,0.1,622.8
V000020,C0182,P022,2024-05-15,1,345,0.05,327.75
V000021,C0188,P024,2024-07-15,4,99,0.1,356.4
V000022,C0169,P026,2023-08-13,5,394,0.05,1871.5
V000023,C0192,P027,2024-12-05,1,81,0.0,81.0
V000024,C0164,P042,2024-04-09,2,147,0.1,264.6
V000025,C0193,P013,2023-01-01,5,274,0.0,1370.0
V000026,C0127,P010,2023-03-15,3,496,0.0,1488.0
V000027,C0194,P026,2023-11-07,2,394,0.1,709.2
V000028,C0164,P007,2023-07-15,1,467,0.0,467.0
V000029,C0008,P019,2023-05-04,2,490,0.0,980.0
V000030,C0199,P044,2023-03-15,1,432,0.05,410.4
V000031,C0116,P008,2024-03-08,3,442,0.1,1193.4
V000032,C0104,P001,2024-12-15,5,326,0.05,1548.5
V000033,C0088,P025,2024-01-19,2,266,0.05,505.4
V000034,C0110,P040,2024-08-26,4,196,0.1,705.6
V000035,C0158,P038,2023-02-12,4,134,0.0,536.0
V000036,C0128,P021,2023-12-26,1,159,0.05,151.05
V000037,C0180,P031,2024-01-28,5,286,0.0,1430.0
V000038,C0109,P045,2024-08-24,5,349,0.05,1657.75
V000039,C0176,P032,2023-01-28,4,276,0.0,1104.0
V000040,C0125,P049,2023-03-30,4,256,0.05,972.8
V000041,C0140,P006,2023-03-26,2,90,0.1,162.0
V000042,C0184,P041,2023-04-07,4,388,0.05,1474.4
V000043,C0192,P022,2023-09-05,5,345,0.05,1638.75
V000044,C0009,P021,2023-11-14,5,159,0.1,715.5
